"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"70","Martin St. Louis","T.B","R","48","1055.2","17","43","17","26","60","78.95","112","15.18","12.42","192","152","113","49","7","11","14","7","7","0","0","19","40","43","23","45","32","12","16","42.86"
"602","Steven Stamkos","T.B","C","48","1057.1","29","28","17","11","57","77.03","157","18.47","18.15","287","225","175","73","9","11","32","16","16","0","0","16","31","24","63","70","17","406","413","49.57"
"325","Alex Ovechkin","WSH","L","48","1002.45","32","24","13","11","56","69.14","220","14.55","22.4","441","318","205","53","10","14","36","18","18","0","0","26","25","30","120","75","18","0","1","0.00"
"394","Sidney Crosby","PIT","C","36","759.75","15","41","28","13","56","76.71","124","12.10","14.23","203","168","142","59","4","18","16","8","8","0","0","18","28","15","21","38","18","453","381","54.32"
"573","Patrick Kane","CHI","R","47","942.63333333333","23","32","24","8","55","83.33","138","16.67","13","237","185","140","48","8","11","8","4","4","0","0","12","25","36","11","67","9","2","8","20.00"
"257","Eric Staal","CAR","C","48","1007.8","18","35","23","12","53","75.71","152","11.84","18.49","270","205","172","82","3","27","54","23","22","0","1","15","24","48","35","59","24","527","487","51.97"
"256","Chris Kunitz","PIT","L","48","865.06666666667","22","30","17","13","52","64.20","113","19.47","14.61","196","156","131","60","4","10","39","14","12","1","1","14","17","13","104","56","13","4","5","44.44"
"490","Phil Kessel","TOR","R","48","950.88333333333","20","32","23","9","52","81.25","161","12.42","13.97","313","226","139","48","9","13","18","9","9","0","0","11","45","25","16","49","23","5","3","62.50"
"776","Taylor Hall","EDM","L","45","837.91666666667","16","34","25","9","50","87.72","154","10.39","14.4","258","203","151","61","5","12","33","11","9","1","1","18","29","31","24","93","20","29","24","54.72"
"87","Mike Ribeiro","WSH","C","48","856","13","36","20","16","49","72.06","63","20.63","6.71","99","85","66","32","5","3","53","17","14","1","2","10","22","22","55","66","29","226","279","44.75"
"100","Pavel Datsyuk","DET","C","47","948.51666666667","15","34","18","16","49","71.01","107","14.02","10.88","217","161","113","38","6","3","14","7","7","0","0","11","38","56","31","45","30","488","399","55.02"
"270","Ryan Getzlaf","ANA","C","44","888.51666666667","15","34","25","9","49","77.78","99","15.15","9.32","180","140","99","40","10","5","41","15","13","1","1","8","31","27","89","53","42","355","384","48.04"
"119","Henrik Zetterberg","DET","L","46","944.05","11","37","19","18","48","78.69","173","6.36","15.19","278","223","156","61","2","15","18","9","9","0","0","11","27","29","20","46","10","263","281","48.35"
"479","Claude Giroux","PHI","C","48","1016.2333333333","13","35","22","13","48","70.59","137","9.49","10.5","266","194","119","29","9","19","22","10","10","0","0","28","30","17","57","47","29","644","538","54.48"
"493","Nicklas Backstrom","WSH","C","48","955.23333333333","8","40","17","23","48","68.57","82","9.76","9.01","156","118","84","44","4","10","20","10","10","0","0","12","26","33","31","70","35","432","408","51.43"
"506","Jonathan Toews","CHI","C","47","909.08333333333","23","25","13","12","48","72.73","143","16.08","14.09","224","179","145","83","5","11","27","12","11","1","0","20","16","56","24","79","16","559","374","59.91"
"690","John Tavares","NYI","C","48","997.18333333333","28","19","10","9","47","74.60","162","17.28","20.68","289","224","208","88","10","12","18","9","9","0","0","21","44","27","33","65","22","459","471","49.35"
"328","Andrew Ladd","WPG","L","48","944.66666666667","18","28","14","14","46","75.41","121","14.88","13.32","227","181","141","61","14","9","22","8","6","2","0","9","16","25","98","69","26","29","25","53.70"
"578","Jakub Voracek","PHI","R","48","827.4","22","24","13","11","46","71.88","129","17.05","12.01","216","165","100","34","7","14","35","12","10","1","1","12","25","21","20","66","12","2","3","40.00"
"106","Henrik Sedin","VAN","C","48","928.68333333333","11","34","18","16","45","77.59","70","15.71","8.94","114","91","69","43","5","10","24","12","12","0","0","15","19","21","22","30","9","440","451","49.38"
"220","Alexander Semin","CAR","R","44","921.48333333333","13","31","20","11","44","65.67","150","8.67","14.5","323","227","138","42","9","22","46","19","18","0","1","9","35","46","14","57","21","5","16","23.81"
"315","Matt Moulson","NYI","L","47","900.31666666667","15","29","20","9","44","80.00","154","9.74","18.37","256","198","178","99","4","14","4","2","2","0","0","10","15","20","24","35","28","1","0","100.00"
"630","Derek Stepan","NYR","C","48","1004.2833333333","18","26","18","8","44","69.84","108","16.67","11.66","208","150","125","63","7","11","12","6","6","0","0","4","22","34","52","51","28","448","529","45.85"
"696","Nazem Kadri","TOR","C","48","770.5","18","26","21","5","44","83.02","107","16.82","10.67","206","162","124","47","7","13","23","10","9","1","0","40","30","23","62","96","22","250","315","44.25"
"200","PA Parenteau","COL","R","48","919.03333333333","18","25","15","10","43","81.13","105","17.14","10.67","174","127","98","47","7","11","38","15","14","0","1","9","29","40","50","54","14","1","12","7.69"
"692","Matt Duchene","COL","C","47","983.26666666667","17","26","19","7","43","79.63","132","12.88","12.5","214","178","123","56","5","11","12","6","6","0","0","15","24","44","48","39","47","488","405","54.65"
"212","Rick Nash","NYR","R","44","878.7","21","21","12","9","42","73.68","176","11.93","15","279","219","147","73","2","12","26","13","13","0","0","12","32","19","46","56","25","5","7","41.67"
"401","Anze Kopitar","L.A","C","47","962.51666666667","10","32","18","14","42","67.74","98","10.20","8.2","178","143","102","34","3","5","16","8","8","0","0","12","35","27","70","73","25","473","415","53.27"
"259","Thomas Vanek","BUF","L","38","699.41666666667","20","21","14","7","41","78.85","119","16.81","15.93","200","158","125","72","7","12","20","10","10","0","0","10","30","34","13","14","4","8","4","66.67"
"329","Blake Wheeler","WPG","R","48","902.41666666667","19","22","16","6","41","74.55","129","14.73","15.67","228","186","124","49","9","12","28","10","9","0","1","14","20","28","90","96","39","4","14","22.22"
"57","Joe Thornton","S.J","C","48","882.43333333333","7","33","20","13","40","70.18","85","8.24","8.9","136","109","79","32","3","14","26","10","8","2","0","9","42","37","23","37","21","410","291","58.49"
"105","Daniel Sedin","VAN","L","47","894","12","28","16","12","40","75.47","138","8.70","11.29","221","177","121","60","7","8","18","9","9","0","0","14","21","16","15","49","7","3","4","42.86"
"577","Max Pacioretty","MTL","L","44","726.41666666667","15","24","13","11","39","75.00","163","9.20","13.21","277","220","122","51","9","14","28","10","9","0","1","13","12","24","59","110","16","2","5","28.57"
"71","Pascal Dupuis","PIT","R","48","840.33333333333","20","18","6","12","38","63.33","140","14.29","15.09","258","199","145","58","8","13","26","13","13","0","0","8","13","29","83","44","36","27","30","47.37"
"268","Zach Parise","MIN","L","48","992","18","20","14","6","38","69.09","182","9.89","22.66","263","229","175","103","5","32","16","8","8","0","0","16","16","24","59","85","41","3","6","33.33"
"417","Kris Letang","PIT","D","35","897.26666666667","5","33","15","18","38","52.78","95","5.26","6.7","184","132","57","10","2","12","8","4","4","0","0","8","34","12","45","60","59","0","0","-"
"473","Jiri Tlusty","CAR","L","48","875.7","23","15","9","6","38","69.09","117","19.66","15.83","194","160","135","66","5","19","18","9","9","0","0","7","21","22","53","97","41","3","15","16.67"
"546","Sam Gagner","EDM","C","48","931.75","14","24","11","13","38","76.00","113","12.39","11.16","193","148","98","36","2","10","23","10","9","1","0","10","26","23","35","57","22","325","416","43.86"
"551","P.K. Subban","MTL","D","42","976.25","11","27","13","14","38","57.58","126","8.73","6.01","247","168","43","4","0","10","57","23","21","1","1","15","42","10","51","77","49","0","0","-"
"163","Mikko Koivu","MIN","C","48","1012.65","11","26","13","13","37","71.15","127","8.66","11.94","247","186","127","44","0","11","26","13","13","0","0","13","19","26","47","18","18","524","447","53.96"
"550","Logan Couture","S.J","C","48","868.65","21","16","11","5","37","71.15","151","13.91","14.91","263","214","141","56","7","12","4","2","2","0","0","14","22","31","32","79","51","252","237","51.53"
"618","Jordan Eberle","EDM","C, R","48","911.76666666667","16","21","16","5","37","67.27","133","12.03","14.6","204","175","140","63","7","15","16","8","8","0","0","17","32","28","31","73","16","8","11","42.11"
"20","Patrik Elias","N.J","C","48","898.53333333333","14","22","14","8","36","83.72","118","11.86","12.21","210","155","119","49","7","7","22","11","11","0","0","13","21","26","20","45","14","71","92","43.56"
"276","Corey Perry","ANA","R","44","839.06666666667","15","21","13","8","36","62.07","128","11.72","14.23","208","168","150","83","14","11","72","22","16","4","2","14","21","18","49","78","18","6","23","20.69"
"412","James Neal","PIT","L, R","40","698.75","21","15","9","6","36","69.23","136","15.44","14.07","249","175","147","49","5","16","26","13","13","0","0","11","7","11","56","49","17","1","5","16.67"
"461","Brad Marchand","BOS","L","45","763.4","18","18","12","6","36","75.00","91","19.78","9.67","157","123","102","42","6","7","27","12","11","1","0","16","32","28","38","72","20","6","6","50.00"
"475","Chris Stewart","STL","R","48","759.3","18","18","10","8","36","70.59","97","18.56","9.5","158","133","82","41","6","6","40","14","10","4","0","16","11","13","41","36","13","8","19","29.63"
"527","Teddy Purcell","T.B","L","48","803.65","11","25","20","5","36","63.16","94","11.70","7.23","158","122","85","24","10","9","12","6","6","0","0","4","25","20","11","36","7","2","4","33.33"
"1","Jaromir Jagr","BOS, DAL","R","45","824.85","16","19","10","9","35","67.31","115","13.91","12.51","207","157","136","63","5","17","22","11","11","0","0","11","28","19","13","60","10","0","1","0.00"
"102","Michael Ryder","DAL, MTL","R","46","738.23333333333","16","19","8","11","35","70.00","101","15.84","10.28","186","133","109","49","4","7","16","8","8","0","0","7","15","19","35","60","16","3","6","33.33"
"138","Brad Boyes","NYI","R","48","874.11666666667","10","25","16","9","35","67.31","97","10.31","11.36","189","142","114","58","6","7","16","8","8","0","0","6","40","19","44","64","20","4","12","25.00"
