"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"211","Tomas Fleischmann","FLA","L","48","899.23333333333","12","23","15","8","35","74.47","121","9.92","9.04","208","159","94","22","11","10","16","8","8","0","0","12","26","27","29","58","10","10","10","50.00"
"88","Brad Richards","NYR","C","46","865.66666666667","11","23","14","9","34","72.34","110","10.00","9.96","221","154","100","30","3","16","14","7","7","0","0","8","24","31","25","53","43","391","382","50.58"
"180","Jason Pominville","BUF, MIN","R","47","948.45","14","20","12","8","34","59.65","118","11.86","10.1","223","169","94","33","8","6","8","4","4","0","0","11","13","38","21","51","35","51","54","48.57"
"607","Cody Hodgson","BUF","C","48","883.11666666667","15","19","13","6","34","68.00","114","13.16","10.96","193","144","109","53","3","9","20","10","10","0","0","12","29","19","21","38","24","380","432","46.80"
"30","Jarome Iginla","CGY, PIT","R","44","827.65","14","19","13","6","33","63.46","134","10.45","13.69","219","171","122","53","4","10","29","10","7","3","0","14","17","18","65","37","13","123","124","49.80"
"140","Justin Williams","L.A","R","48","815.51666666667","11","22","10","12","33","70.21","142","7.75","14.48","250","198","124","59","7","18","22","11","11","0","0","13","28","15","29","81","12","2","4","33.33"
"182","Tomas Plekanec","MTL","C","47","902.91666666667","14","19","10","9","33","67.35","133","10.53","12.07","236","176","118","46","8","12","24","12","12","0","0","10","22","15","26","37","17","486","475","50.57"
"264","Jeff Carter","L.A","C","48","843.75","26","7","6","1","33","60.00","133","19.55","15.58","263","198","157","72","8","14","16","7","7","0","0","7","31","23","25","64","23","202","182","52.60"
"326","Evgeni Malkin","PIT","C","31","610.78333333333","9","24","14","10","33","66.00","99","9.09","10.58","193","145","117","47","3","15","36","14","13","0","1","15","21","23","12","43","11","195","218","47.22"
"349","David Krejci","BOS","C","47","869.7","10","23","16","7","33","70.21","93","10.75","8.91","173","132","104","53","6","8","20","10","10","0","0","5","25","20","41","56","27","361","293","55.20"
"377","Troy Brouwer","WSH","R","47","871.26666666667","19","14","11","3","33","56.90","111","17.12","12.48","187","154","124","50","5","11","28","10","9","0","1","6","22","24","108","56","23","111","121","47.84"
"532","Jamie Benn","DAL","L","41","816.31666666667","12","21","14","7","33","73.33","110","10.91","11.84","211","159","124","59","7","17","40","12","9","2","1","12","31","41","71","55","32","327","382","46.12"
"693","Evander Kane","WPG","L","48","981.71666666667","17","16","12","4","33","68.75","191","8.90","17.96","351","272","178","74","15","26","80","29","25","2","2","23","31","25","147","140","22","13","20","39.39"
"74","Vincent Lecavalier","T.B","C","39","697.43333333333","10","22","15","7","32","65.31","86","11.63","8.78","136","115","84","43","3","6","29","10","7","3","0","12","7","12","74","34","13","404","338","54.45"
"178","Mike Cammalleri","CGY","L","44","794.45","13","19","13","6","32","82.05","102","12.75","10.61","192","147","91","34","7","7","25","11","10","1","0","9","15","22","20","18","9","253","243","51.01"
"261","Ryan Suter","MIN","D","48","1309.4166666667","4","28","9","19","32","50.79","91","4.40","4.39","193","122","43","5","3","11","24","12","12","0","0","4","19","9","33","37","74","0","0","-"
"274","Mike Richards","L.A","C","48","784.93333333333","12","20","12","8","32","68.09","82","14.63","8.82","164","126","83","37","5","10","42","13","10","2","1","13","19","21","58","46","19","216","225","48.98"
"280","Patrice Bergeron","BOS","C","42","810.36666666667","10","22","11","11","32","72.73","125","8.00","12.3","211","172","128","50","14","7","18","9","9","0","0","12","28","23","28","43","25","549","335","62.10"
"299","Lee Stempniak","CGY","R","47","841.58333333333","9","23","14","9","32","72.73","113","7.96","10.55","191","138","114","55","9","15","12","6","6","0","0","11","24","32","47","38","17","3","20","13.04"
"459","Bryan Little","WPG","C","48","950.35","7","25","17","8","32","58.18","84","8.33","9.98","142","108","101","50","7","11","4","2","2","0","0","15","11","29","32","63","19","431","411","51.19"
"544","James van Riemsdyk","TOR","L","48","921.95","18","14","6","8","32","59.26","140","12.86","14.54","233","187","137","76","7","15","26","13","13","0","0","7","31","17","55","92","15","24","19","55.81"
"586","Wayne Simmonds","PHI","R","45","703.68333333333","15","17","8","9","32","71.11","110","13.64","13.58","172","141","111","72","2","12","82","28","21","6","1","22","19","10","72","50","16","2","1","66.67"
"779","Tyler Seguin","BOS","C","48","816.73333333333","16","16","8","8","32","61.54","161","9.94","16.42","289","226","139","49","7","15","16","8","8","0","0","8","30","18","25","38","6","22","23","48.89"
"58","Patrick Marleau","S.J","L","48","917.6","17","14","5","9","31","59.62","150","11.33","17.07","245","196","152","80","4","24","24","12","12","0","0","10","26","25","38","45","13","71","79","47.33"
"61","Marian Hossa","CHI","R","40","721.65","17","14","7","7","31","68.89","116","14.66","10.93","205","152","104","32","1","7","16","8","8","0","0","7","14","48","12","33","13","1","2","33.33"
"160","Ilya Kovalchuk","N.J","R","37","915.28333333333","11","20","11","9","31","62.00","123","8.94","10.64","238","181","92","26","8","9","18","9","9","0","0","10","41","10","13","35","12","7","15","31.82"
"307","Joe Pavelski","S.J","C","48","907.66666666667","16","15","11","4","31","59.62","130","12.31","13.74","243","183","129","47","12","16","10","5","5","0","0","13","28","38","48","52","44","342","318","51.82"
"356","Johan Franzen","DET","R","41","741.56666666667","14","17","11","6","31","62.00","116","12.07","11.9","201","170","111","55","5","4","41","11","8","1","2","10","21","16","43","35","17","30","32","48.39"
"365","Ryan Callahan","NYR","R","45","967.9","16","15","6","9","31","62.00","144","11.11","17","245","201","138","80","6","17","12","6","6","0","0","16","18","23","154","87","66","14","16","46.67"
"483","Jordan Staal","CAR","C","48","963.71666666667","10","21","14","7","31","67.39","114","8.77","12.74","188","155","125","61","1","18","32","16","16","0","0","13","20","31","105","69","20","458","456","50.11"
"619","Tyler Ennis","BUF","L","47","840.25","10","21","9","12","31","77.50","108","9.26","12.43","180","142","113","55","7","13","16","8","8","0","0","10","20","16","28","62","25","158","219","41.91"
"806","Jonathan Huberdeau","FLA","L","48","812.51666666667","14","17","9","8","31","77.50","112","12.50","13.21","182","146","114","55","6","15","18","9","9","0","0","15","28","17","33","53","19","11","22","33.33"
"830","Nail Yakupov","EDM","R","48","698.96666666667","17","14","10","4","31","79.49","81","20.99","8.47","162","113","85","26","3","9","24","12","12","0","0","9","23","18","41","27","14","0","6","0.00"
"13","Vinny Prospal","CBJ","L","48","793.26666666667","12","18","5","13","30","83.33","85","14.12","8.18","153","111","73","37","3","5","32","12","11","0","1","3","11","25","37","72","18","4","5","44.44"
"99","Andrei Markov","MTL","D","48","1158.2166666667","10","20","12","8","30","47.62","79","12.66","5.28","175","113","43","13","3","12","14","7","7","0","0","7","50","18","22","43","60","0","0","-"
"395","Bobby Ryan","ANA","R","46","762.91666666667","11","19","11","8","30","65.22","101","10.89","10.44","185","145","113","49","15","8","17","7","6","1","0","14","23","24","80","56","29","25","56","30.86"
"420","Keith Yandle","PHX","D","48","1067.8666666667","10","20","11","9","30","57.69","130","7.69","7.21","273","185","73","12","5","16","54","19","17","0","2","13","30","20","18","28","40","0","0","-"
"585","Lars Eller","MTL","C","46","682.16666666667","8","22","11","11","30","85.71","84","9.52","7.8","159","120","81","37","0","11","30","15","15","0","0","16","19","23","86","100","33","267","275","49.26"
"4","Ray Whitney","DAL","L","32","620.66666666667","11","18","9","9","29","80.56","62","17.74","7.17","138","97","72","30","5","6","4","2","2","0","0","7","41","29","10","15","14","16","35","31.37"
"16","Kimmo Timonen","PHI","D","45","979.48333333333","5","24","14","10","29","46.77","78","6.41","3.85","169","113","32","2","1","9","36","18","18","0","0","4","21","13","31","48","79","0","0","-"
"141","Niklas Kronwall","DET","D","48","1169.3666666667","5","24","9","15","29","46.03","68","7.35","4.29","182","106","48","8","0","12","44","21","21","0","0","12","21","11","42","52","83","0","0","-"
"224","Frans Nielsen","NYI","C","48","864.81666666667","6","23","10","13","29","85.29","93","6.45","9.05","159","125","100","35","6","8","12","6","6","0","0","5","24","29","23","68","47","268","290","48.03"
"265","Dustin Brown","L.A","R","46","897.06666666667","18","11","9","2","29","55.77","142","12.68","17.79","252","198","146","68","11","10","22","11","11","0","0","27","27","17","156","78","8","15","26","36.59"
"278","Loui Eriksson","DAL","L","48","965.75","12","17","10","7","29","65.91","104","11.54","12.95","189","152","127","64","5","9","8","4","4","0","0","11","21","29","6","44","18","9","25","26.47"
"421","Cody Franson","TOR","D","45","845.48333333333","4","25","8","17","29","48.33","70","5.71","2.7","136","96","25","2","4","6","8","4","4","0","0","8","40","21","124","50","59","0","0","-"
"488","Derick Brassard","CBJ, NYR","C","47","778.11666666667","12","17","14","3","29","69.05","88","13.64","7.93","151","112","83","39","6","10","16","8","8","0","0","13","17","19","83","48","8","215","231","48.21"
"555","Kyle Turris","OTT","C","48","942.68333333333","12","17","12","5","29","69.05","118","10.17","10.86","226","165","111","37","6","14","24","12","12","0","0","12","27","28","30","60","20","451","469","49.02"
"794","Cory Conacher","OTT, T.B","C","47","656.76666666667","11","18","9","9","29","76.32","67","16.42","6.41","110","81","71","35","3","7","20","10","10","0","0","25","20","10","39","69","9","4","11","26.67"
"120","Radim Vrbata","PHX","R","34","622.51666666667","12","16","10","6","28","77.78","106","11.32","8.19","174","140","76","32","10","16","14","7","7","0","0","3","11","18","26","13","14","10","22","31.25"
"175","Derek Roy","DAL, VAN","C","42","780.96666666667","7","21","13","8","28","71.79","85","8.24","8.26","153","109","87","34","4","11","6","3","3","0","0","8","24","31","15","28","30","295","352","45.60"
"263","Dion Phaneuf","TOR","D","48","1208.55","9","19","10","9","28","40.00","88","10.23","4.43","212","129","35","6","2","11","65","23","20","1","2","13","53","15","131","63","91","0","0","-"
"282","Shea Weber","NSH","D","48","1244.2333333333","9","19","8","11","28","48.28","124","7.26","8.02","239","176","59","9","3","23","48","13","9","2","2","13","36","14","112","40","90","0","0","-"
"286","David Backes","STL","R","48","941.33333333333","6","22","13","9","28","66.67","100","6.00","10.9","167","139","98","51","8","10","62","27","26","0","1","18","10","30","158","65","41","477","435","52.30"
"313","Dustin Byfuglien","WPG","D","43","1049.3333333333","8","20","10","10","28","50.00","142","5.63","8.4","275","198","78","18","5","15","34","17","17","0","0","5","50","26","80","44","47","0","0","-"
"451","David Desharnais","MTL","C","48","790.38333333333","10","18","9","9","28","58.33","66","15.15","8.31","105","89","73","48","3","7","26","13","13","0","0","15","15","23","26","49","18","382","382","50.00"
"676","Tyler Bozak","TOR","C","46","934.28333333333","12","16","8","8","28","47.46","61","19.67","7.52","115","85","81","32","7","1","6","3","3","0","0","9","37","37","65","51","23","559","504","52.59"
"783","Brendan Gallagher","MTL","R","44","609.96666666667","15","13","8","5","28","63.64","117","12.82","13.38","207","154","126","71","11","15","33","14","13","1","0","20","8","17","44","93","33","8","17","32.00"
"7","Sergei Gonchar","OTT","D","45","1079.6833333333","3","24","9","15","27","62.79","85","3.53","4.3","191","120","43","5","2","12","26","13","13","0","0","2","28","10","25","66","65","0","0","-"
"9","Saku Koivu","ANA","C","47","827.21666666667","8","19","10","9","27","84.38","55","14.55","8.1","108","78","79","28","3","7","18","9","9","0","0","8","21","14","31","31","15","437","414","51.35"
"28","Shane Doan","PHX","R","48","866.63333333333","13","14","7","7","27","62.79","129","10.08","11.56","220","167","121","55","7","16","37","17","16","1","0","13","20","23","118","57","10","4","11","26.67"
"42","Matt Cullen","MIN","C","42","667.43333333333","7","20","15","5","27","71.05","79","8.86","8.67","140","111","77","40","5","13","10","5","5","0","0","8","24","14","18","45","18","245","203","54.69"
"68","Brian Campbell","FLA","D","48","1268","8","19","6","13","27","47.37","70","11.43","3.82","144","104","30","4","1","7","12","6","6","0","0","7","27","14","14","88","65","0","0","-"
"80","Alex Tanguay","CGY","L","40","774.36666666667","11","16","10","6","27","72.97","44","25.00","5.83","84","64","55","28","2","9","22","11","11","0","0","3","33","19","24","29","28","68","105","39.31"
"127","Mark Streit","NYI","D","48","1120.6666666667","6","21","8","13","27","48.21","83","7.23","5.56","206","120","40","13","4","12","22","11","11","0","0","6","37","20","34","56","86","0","0","-"
"131","Marian Gaborik","CBJ, NYR","R","47","870.41666666667","12","15","9","6","27","61.36","151","7.95","15.87","236","183","154","73","8","15","14","6","6","0","0","7","18","19","21","59","18","1","2","33.33"
"143","Tomas Kopecky","FLA","R","47","831.21666666667","15","12","7","5","27","69.23","93","16.13","9.58","166","126","79","31","8","7","28","10","9","0","1","13","11","24","23","78","25","42","44","48.84"
"236","Jiri Hudler","CGY","R","42","720.68333333333","10","17","9","8","27","75.00","56","17.86","6.55","101","77","61","31","2","7","22","10","10","0","0","10","17","22","16","25","5","10","21","32.26"
"241","Alexander Steen","STL","L","40","759.68333333333","8","19","10","9","27","65.85","129","6.20","11.2","240","182","99","35","3","11","14","7","7","0","0","8","13","13","28","37","22","94","110","46.08"
"246","Duncan Keith","CHI","D","47","1133.1","3","24","10","14","27","41.54","91","3.30","4.62","184","120","43","6","3","10","31","10","8","1","1","3","29","26","19","79","66","0","0","-"
"348","Alex Goligoski","DAL","D","47","1052.1166666667","3","24","11","13","27","42.86","80","3.75","4.92","202","135","47","8","7","7","18","9","9","0","0","10","38","5","56","77","66","0","0","-"
"384","Jannik Hansen","VAN","R","47","825.06666666667","10","17","10","7","27","57.45","99","10.10","8.65","177","134","72","28","9","6","8","4","4","0","0","7","17","21","55","43","10","3","28","9.68"
"399","Devin Setoguchi","MIN","R","48","693.05","13","14","9","5","27","71.05","97","13.40","10.8","168","130","104","42","3","15","20","8","8","0","0","9","18","18","92","32","19","7","10","41.18"
"472","Milan Lucic","BOS","L","46","777.95","7","20","12","8","27","61.36","79","8.86","8.33","172","124","92","41","9","12","75","21","14","5","2","11","37","20","139","99","16","17","18","48.57"
"521","Mark Letestu","CBJ","C","46","759.71666666667","13","14","8","6","27","81.82","92","14.13","6.29","143","109","61","23","2","8","10","5","5","0","0","3","7","27","36","35","12","244","243","50.10"
"624","Justin Schultz","EDM","D","48","1029.5833333333","8","19","4","15","27","55.10","85","9.41","5.97","190","126","68","19","1","11","8","4","4","0","0","3","34","15","15","74","35","0","1","0.00"
"803","Brandon Saad","CHI","L","46","757.21666666667","10","17","11","6","27","61.36","98","10.20","9.33","163","130","111","54","3","9","12","6","6","0","0","14","15","26","41","47","12","17","29","36.96"
"829","Alex Galchenyuk","MTL","C","48","591.4","9","18","14","4","27","72.97","79","11.39","8.54","143","115","76","37","6","12","20","10","10","0","0","7","8","9","23","42","25","59","79","42.75"
"23","Daniel Alfredsson","OTT","R","47","909.43333333333","10","16","9","7","26","60.47","101","9.90","10.51","202","143","91","33","5","12","33","11","9","1","1","11","36","37","28","47","30","16","22","42.11"
"91","Brian Gionta","MTL","R","48","869.91666666667","14","12","8","4","26","53.06","112","12.50","10.39","198","152","105","57","7","20","8","4","4","0","0","14","15","23","37","69","23","14","28","33.33"
"323","Curtis Glencross","CGY","L","40","729.41666666667","15","11","7","4","26","74.29","92","16.30","11.16","168","130","108","56","8","10","18","9","9","0","0","10","24","19","49","47","14","20","26","43.48"
"339","Mike Green","WSH","D","35","869.88333333333","12","14","9","5","26","50.98","96","12.50","5","200","128","48","3","6","7","20","10","10","0","0","5","25","14","36","72","61","0","0","-"
"608","Mikkel Boedker","PHX","L","48","886.88333333333","7","19","7","12","26","68.42","83","8.43","9.15","137","110","82","36","3","9","12","6","6","0","0","14","13","27","77","44","17","1","10","9.09"
"694","Brayden Schenn","PHI","C","47","729.86666666667","8","18","11","7","26","66.67","79","10.13","8.44","146","110","85","38","4","12","22","8","6","2","0","14","11","19","109","67","22","206","247","45.47"
"835","Damien Brunner","DET","R","44","685.9","12","14","12","2","26","56.52","123","9.76","11.47","232","176","114","48","4","13","12","6","6","0","0","7","14","22","20","34","2","2","3","40.00"
"64","Brenden Morrow","DAL, PIT","L","44","653.93333333333","12","13","8","5","25","62.50","55","21.82","7.55","96","77","69","42","5","7","37","17","16","1","0","18","15","11","85","53","20","13","11","54.17"
"75","David Legwand","NSH","C","48","884.43333333333","12","13","5","8","25","65.79","78","15.38","8.82","127","107","69","44","4","8","20","10","10","0","0","8","32","31","20","35","20","362","359","50.21"
"484","Patrik Berglund","STL","C","48","807.76666666667","17","8","5","3","25","64.10","74","22.97","8.82","131","100","79","35","3","6","12","6","6","0","0","5","9","10","53","36","24","279","324","46.27"
"565","David Perron","STL","L","48","864.26666666667","10","15","6","9","25","71.43","84","11.90","8.25","168","115","84","31","5","12","44","22","22","0","0","16","14","26","48","60","11","8","14","36.36"
"621","Slava Voynov","L.A","D","48","1070.5","6","19","9","10","25","47.17","79","7.59","3.83","196","124","49","5","2","9","14","7","7","0","0","5","38","8","83","96","48","2","0","100.00"
"2","Teemu Selanne","ANA","R","46","721.85","12","12","10","2","24","75.00","96","12.50","10.69","167","131","110","47","5","9","28","6","4","0","2","6","31","23","8","35","10","85","83","50.60"
"90","Francois Beauchemin","ANA","D","48","1125.9833333333","6","18","5","13","24","40.00","74","8.11","4.98","148","101","37","11","4","8","22","11","11","0","0","3","35","17","81","56","111","0","0","-"
"118","Martin Erat","NSH, WSH","R","45","806.46666666667","5","19","8","11","24","77.42","69","7.25","6.82","124","89","71","35","0","7","30","14","14","0","0","8","35","18","48","55","12","32","30","51.61"
"139","Steve Ott","BUF","C","48","890.78333333333","9","15","9","6","24","72.73","73","12.33","6.8","126","97","66","35","4","8","93","31","24","5","2","20","24","10","187","60","21","298","237","55.70"
"166","Dan Hamhuis","VAN","D","47","1099.3333333333","4","20","8","12","24","50.00","62","6.45","3.77","172","105","49","8","3","12","12","6","6","0","0","6","31","20","47","63","63","0","0","-"
"254","Alexandre Burrows","VAN","L","47","888.63333333333","13","11","7","4","24","52.17","140","9.29","16.93","215","181","146","92","6","11","54","27","27","0","0","23","15","19","52","64","15","48","60","44.44"
